0,0,0,R
0,0,0,Y
0,0,0,B
0,0,0,W
0,0,0,O
0,0,0,G
43,43,51,R
45,43,47,Y
54,56,57,B
43,42,47,W
6,2,4,O
15,4,4,G
48,44,57,R
41,41,46,Y
61,54,57,B
45,41,49,W
8,0,6,O
6,2,3,G
42,39,44,R
42,47,46,Y
63,60,64,B
46,41,47,W
6,2,9,O
3,2,5,G
39,34,48,R
50,45,50,Y
69,61,68,B
48,42,48,W
3,0,4,O
8,3,11,G
35,39,53,R
40,50,53,Y
52,56,61,B
43,43,49,W
5,1,8,O
8,1,11,G
37,48,50,R
39,47,47,Y
54,57,61,B
40,43,47,W
3,0,3,O
2,2,6,G
42,42,52,R
47,46,53,Y
59,60,66,B
45,43,51,W
3,2,5,O
10,4,13,G
32,38,39,R
35,40,49,Y
61,59,66,B
45,45,53,W
2,4,4,O
8,4,8,G
36,41,52,R
48,48,59,Y
59,55,59,B
44,45,50,W
7,2,6,O
5,1,9,G
39,46,57,R
32,44,49,Y
55,60,66,B
44,43,55,W
2,5,10,O
3,1,6,G
46,47,55,R
39,45,55,Y
54,60,58,B
40,45,52,W
6,5,10,O
4,2,7,G
46,45,48,R
45,45,55,Y
61,56,56,B
44,42,46,W
1,0,2,O
7,1,7,G
38,43,50,R
43,51,58,Y
58,62,63,B
43,41,44,W
3,1,6,O
10,6,14,G
33,40,47,R
46,52,49,Y
56,56,61,B
45,47,51,W
3,4,3,O
10,7,11,G
26,36,47,R
41,49,62,Y
58,60,66,B
35,46,51,W
4,0,5,O
3,2,10,G
45,41,63,R
35,43,52,Y
73,55,50,B
54,47,56,W
12,1,10,O
18,5,13,G
43,44,56,R
39,48,43,Y
55,59,59,B
47,41,46,W
5,1,1,O
2,1,2,G
36,43,51,R
51,45,57,Y
53,55,57,B
41,37,36,W
10,3,2,O
11,2,5,G
30,46,62,R
42,45,53,Y
56,53,64,B
37,38,41,W
2,2,7,O
6,3,9,G
32,38,49,R
41,44,50,Y
65,52,63,B
45,37,48,W
2,1,8,O
6,6,16,G
39,39,55,R
48,46,56,Y
65,57,58,B
46,41,58,W
10,1,12,O
10,1,2,G
33,45,53,R
45,45,53,Y
56,56,63,B
47,41,51,W
7,0,6,O
12,0,5,G
27,43,42,R
41,44,44,Y
52,53,58,B
49,47,57,W
2,0,3,O
2,1,6,G
29,39,53,R
45,44,52,Y
60,57,70,B
49,44,54,W
0,0,1,O
2,1,7,G
34,42,51,R
42,46,52,Y
53,58,65,B
42,44,54,W
0,0,5,O
8,3,7,G
35,45,57,R
39,49,55,Y
51,58,71,B
45,44,54,W
3,1,9,O
8,2,6,G
35,41,50,R
44,48,52,Y
57,61,67,B
47,43,55,W
5,2,5,O
2,1,4,G
36,40,48,R
42,48,52,Y
66,59,68,B
47,45,46,W
1,0,1,O
5,3,4,G
32,43,47,R
41,46,49,Y
63,56,59,B
38,42,41,W
0,0,3,O
5,2,6,G
32,42,50,R
47,50,56,Y
59,59,60,B
44,46,46,W
2,1,1,O
6,3,4,G
31,45,51,R
48,51,57,Y
50,60,57,B
46,48,48,W
1,2,6,O
5,6,9,G
34,41,46,R
49,51,54,Y
53,62,61,B
48,43,49,W
4,2,4,O
6,0,9,G
36,35,47,R
42,44,48,Y
53,53,58,B
